election_date,election_year,election_month,election_day,prop_letter_or_num,prop_title,num_yes_votes,num_no_votes,pct_yes_votes,pct_no_votes,pct_required_to_pass,pass_or_fail,raw_source_of_prop,source_of_prop,prop_kind,description,prop_url
11/4/1986,1986,11,4,N,"Oil Development Moratorium, Two (2) Years",134792,53555,71.5,28.5,50%+1,P,Supervisors,supervisors,Ordinance,Shall the City impose a two-year moratorium on permits for development of crude oil and gas processing and support facilities within San Francisco?,https://sfpl.org/index.php?pg=2000027201&propid=1336
6/2/1987,1987,6,2,A,Polytechnic High School Site Rezoning for Housing,48986,36651,57.2,42.8,50%+1,P,Referendum,referendum,Ordinance,"Shall the ordinance re-zoning the site of the former Polytechnic High School at 701 Frederick Street from P (Public) to RH-3 (House, Three-Family) be adopted?",https://sfpl.org/index.php?pg=2000027201&propid=1337
6/2/1987,1987,6,2,B,Balboa South Reservoir Site Rezoning for Housing,38550,46899,45.1,54.9,50%+1,F,Referendum,referendum,Ordinance,"Shall the ordinance re-zoning the Balboa Reservoir South site at Ocean and Phelan Avenues from P (Public) to RH-1 (House, One-Family) be adopted?",https://sfpl.org/index.php?pg=2000027201&propid=1338
6/2/1987,1987,6,2,C,Executive Park Development,54676,29961,64.6,35.4,50%+1,P,Supervisors,supervisors,Ordinance,Shall the City exempt certain office developments including 500 or more housing units from the annual limit on new office construction if the project was approved before November 1986?,https://sfpl.org/index.php?pg=2000027201&propid=1339
11/3/1987,1987,11,3,A,"Police Facilities Bonds $28,000,000",129144,44148,74.5,25.5,66 2/3%,P,Supervisors,supervisors,Bond Issue,"To incur an bonded indebtedness of $28,000,000 for the improvement of various police facilities in the City and County of San Francisco?",https://sfpl.org/index.php?pg=2000027201&propid=1340
11/3/1987,1987,11,3,B,"Street Improvements Bond $27,000,000",131575,40529,76.4,23.6,66 2/3%,P,Supervisors,supervisors,Bond Issue,"To incur a bonded indebtedness of $27,000,000 for the improvement of streets, sidewalks, and the existing asphalt plant in the City and County of San Francisco.",https://sfpl.org/index.php?pg=2000027201&propid=1341
11/3/1987,1987,11,3,C,"Mental Health Building, General Hospital, Bonds $26,000,000",138281,35428,79.6,20.4,66 2/3%,P,Supervisors,supervisors,Bond Issue,"To incur a bonded indebtedness of $26,000,000 for the improvement of the public health facilities within the City and County of San Francisco.",https://sfpl.org/index.php?pg=2000027201&propid=1342
11/3/1987,1987,11,3,F,"Parking Revenue Bonds, Leases with Parking Authority",101376,69791,59.2,40.8,50%+1,P,Supervisors,supervisors,Bond Issue,Shall the City enter into leases with the San Francisco Parking Authority to finance the construction of certain neighborhood parking lots and garages?,https://sfpl.org/index.php?pg=2000027201&propid=1345
11/3/1987,1987,11,3,G,Citizen Complaint Office Police Budget Limit Eliminate,84705,80968,51.1,48.9,50%+1,P,Supervisors,supervisors,Charter Amendment,Shall the limit on the annual budget of the Office of Citizen Complaints be eliminated?,https://sfpl.org/index.php?pg=2000027201&propid=1346
11/3/1987,1987,11,3,H,Deputy Sheriff Probation Extend to 18 months,125930,36001,77.7,22.3,50%+1,P,Supervisors,supervisors,Charter Amendment,Shall the probationary period for new deputy sheriffs be extended from twelve months to eighteen months?,https://sfpl.org/index.php?pg=2000027201&propid=1347
11/3/1987,1987,11,3,I,"Deputy Sheriff Retirement Payments, 7% (percent) Limit",93376,63661,59.4,40.6,50%+1,P,Supervisors,supervisors,Charter Amendment,Shall the retirement contribution of deputy sheriffs be limited to seven percent of their wages?,https://sfpl.org/index.php?pg=2000027201&propid=1348
11/3/1987,1987,11,3,J,Union Representatives Retirements Benefits,92193,71303,56.3,43.7,50%+1,P,Supervisors,supervisors,Charter Amendment,Shall the City allow union representatives to receive retirement benefits for time they spend on leave from City service representing City workers?,https://sfpl.org/index.php?pg=2000027201&propid=1349
